|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACION EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACION|PERIODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUENO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACION
TOTAL MIXTOS|FECHA|VIA PRINCIPAL|VIA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
234.0|41849.0|AK_7|AC_85|2200.0|1.0|182.0|0.0|0.0|9.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|39.0|2.0|
231.0|41849.0|AK_7|AC_85|2215.0|1.0|177.0|0.0|0.0|7.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|46.0|1.0|
175.0|41849.0|AK_7|AC_85|2230.0|1.0|133.0|0.0|0.0|9.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|30.0|0.0|
166.0|41849.0|AK_7|AC_85|2245.0|1.0|142.0|0.0|0.0|6.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|17.0|0.0|
126.0|41849.0|AK_7|AC_85|2300.0|1.0|98.0|0.0|0.0|9.0|0.0|0.0|0.0|2.0|0.0|1.0|1.0|0.0|0.0|0.0|13.0|2.0|
124.0|41849.0|AK_7|AC_85|2315.0|1.0|107.0|0.0|0.0|5.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|11.0|0.0|
110.0|41849.0|AK_7|AC_85|2330.0|1.0|86.0|0.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|20.0|0.0|
69.0|41849.0|AK_7|AC_85|2345.0|1.0|57.0|0.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|9.0|0.0|
47.0|41849.0|AK_7|AC_85|0.0|1.0|43.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|
56.0|41849.0|AK_7|AC_85|15.0|1.0|51.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|4.0|0.0|
36.0|41849.0|AK_7|AC_85|30.0|1.0|32.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|
30.0|41849.0|AK_7|AC_85|45.0|1.0|26.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|1.0|
28.0|41849.0|AK_7|AC_85|100.0|1.0|21.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|5.0|0.0|
28.0|41849.0|AK_7|AC_85|115.0|1.0|25.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
23.0|41849.0|AK_7|AC_85|130.0|1.0|23.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
19.0|41849.0|AK_7|AC_85|145.0|1.0|17.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|
13.0|41849.0|AK_7|AC_85|200.0|1.0|12.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|
9.0|41849.0|AK_7|AC_85|215.0|1.0|7.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|
13.0|41849.0|AK_7|AC_85|230.0|1.0|9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|1.0|
8.0|41849.0|AK_7|AC_85|245.0|1.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|
10.0|41849.0|AK_7|AC_85|300.0|1.0|10.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|
10.0|41849.0|AK_7|AC_85|315.0|1.0|7.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
7.0|41849.0|AK_7|AC_85|330.0|1.0|6.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|
17.0|41849.0|AK_7|AC_85|345.0|1.0|15.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|
16.0|41849.0|AK_7|AC_85|400.0|1.0|12.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|
16.0|41849.0|AK_7|AC_85|415.0|1.0|14.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|
26.0|41849.0|AK_7|AC_85|430.0|1.0|21.0|0.0|1.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|
42.0|41849.0|AK_7|AC_85|445.0|1.0|27.0|1.0|0.0|6.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|2.0|
95.0|41849.0|AK_7|AC_85|500.0|1.0|56.0|1.0|0.0|15.0|0.0|0.0|0.0|5.0|0.0|0.0|0.0|1.0|0.0|0.0|14.0|3.0|
133.0|41849.0|AK_7|AC_85|515.0|1.0|82.0|3.0|1.0|16.0|0.0|0.0|0.0|6.0|0.0|0.0|3.0|1.0|1.0|0.0|16.0|4.0|
209.0|41849.0|AK_7|AC_85|530.0|1.0|155.0|2.0|0.0|15.0|0.0|0.0|0.0|8.0|0.0|1.0|2.0|1.0|0.0|0.0|19.0|6.0|
340.0|41849.0|AK_7|AC_85|545.0|1.0|274.0|2.0|1.0|17.0|0.0|0.0|0.0|7.0|0.0|0.0|3.0|0.0|0.0|0.0|27.0|9.0|
388.0|41849.0|AK_7|AC_85|600.0|1.0|300.0|4.0|0.0|21.0|0.0|0.0|0.0|7.0|0.0|1.0|3.0|2.0|0.0|0.0|40.0|10.0|
511.0|41849.0|AK_7|AC_85|615.0|1.0|403.0|7.0|3.0|24.0|0.0|0.0|0.0|8.0|0.0|2.0|4.0|1.0|0.0|0.0|49.0|10.0|
510.0|41849.0|AK_7|AC_85|630.0|1.0|393.0|1.0|1.0|22.0|0.0|0.0|0.0|4.0|0.0|4.0|5.0|0.0|0.0|0.0|62.0|18.0|
594.0|41849.0|AK_7|AC_85|645.0|1.0|468.0|3.0|0.0|32.0|0.0|0.0|0.0|4.0|0.0|3.0|3.0|0.0|0.0|0.0|64.0|17.0|
578.0|41849.0|AK_7|AC_85|700.0|1.0|463.0|1.0|2.0|23.0|0.0|0.0|0.0|8.0|0.0|3.0|4.0|0.0|0.0|0.0|64.0|10.0|
614.0|41849.0|AK_7|AC_85|715.0|1.0|507.0|2.0|1.0|20.0|0.0|0.0|0.0|9.0|0.0|2.0|1.0|0.0|0.0|0.0|63.0|9.0|
560.0|41849.0|AK_7|AC_85|730.0|1.0|466.0|3.0|0.0|14.0|0.0|0.0|0.0|8.0|0.0|4.0|1.0|0.0|0.0|0.0|55.0|9.0|
504.0|41849.0|AK_7|AC_85|745.0|1.0|420.0|3.0|1.0|17.0|0.0|0.0|0.0|4.0|0.0|2.0|1.0|0.0|0.0|0.0|47.0|9.0|
489.0|41849.0|AK_7|AC_85|800.0|1.0|396.0|1.0|0.0|16.0|0.0|0.0|0.0|2.0|0.0|3.0|1.0|0.0|0.0|0.0|64.0|6.0|
513.0|41849.0|AK_7|AC_85|815.0|1.0|402.0|3.0|3.0|28.0|0.0|0.0|0.0|2.0|0.0|6.0|2.0|0.0|0.0|0.0|61.0|6.0|
480.0|41849.0|AK_7|AC_85|830.0|1.0|387.0|4.0|1.0|30.0|0.0|0.0|0.0|0.0|0.0|2.0|2.0|0.0|0.0|0.0|47.0|7.0|
495.0|41849.0|AK_7|AC_85|845.0|1.0|399.0|3.0|1.0|23.0|0.0|0.0|0.0|1.0|0.0|3.0|5.0|0.0|0.0|0.0|58.0|2.0|
472.0|41849.0|AK_7|AC_85|900.0|1.0|364.0|6.0|4.0|37.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|56.0|3.0|
