C_66_Y_AC_68|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
147.0|41720.0|AK_24|CL_66_Y_AC_68|2200.0|1.0|117.0|0.0|1.0|4.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|19.0|4.0|CORRESPONDE A LA AK 24 CON CL 68
111.0|41720.0|AK_24|CL_66_Y_AC_68|2215.0|1.0|77.0|0.0|0.0|5.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|21.0|6.0|CORRESPONDE A LA AK 24 CON CL 68
104.0|41720.0|AK_24|CL_66_Y_AC_68|2230.0|1.0|79.0|0.0|5.0|5.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|11.0|2.0|CORRESPONDE A LA AK 24 CON CL 68
76.0|41720.0|AK_24|CL_66_Y_AC_68|2245.0|1.0|66.0|0.0|0.0|2.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|5.0|1.0|CORRESPONDE A LA AK 24 CON CL 68
79.0|41720.0|AK_24|CL_66_Y_AC_68|2300.0|1.0|65.0|0.0|3.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|10.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
78.0|41720.0|AK_24|CL_66_Y_AC_68|2315.0|1.0|67.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|7.0|1.0|CORRESPONDE A LA AK 24 CON CL 68
58.0|41720.0|AK_24|CL_66_Y_AC_68|2330.0|1.0|51.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
62.0|41720.0|AK_24|CL_66_Y_AC_68|2345.0|1.0|53.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
90.0|41720.0|AK_24|CL_66_Y_AC_68|0.0|1.0|81.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|5.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
78.0|41720.0|AK_24|CL_66_Y_AC_68|15.0|1.0|69.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|5.0|1.0|CORRESPONDE A LA AK 24 CON CL 68
44.0|41720.0|AK_24|CL_66_Y_AC_68|30.0|1.0|41.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|CORRESPONDE A LA AK 24 CON CL 68
58.0|41720.0|AK_24|CL_66_Y_AC_68|45.0|1.0|53.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|3.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
48.0|41720.0|AK_24|CL_66_Y_AC_68|100.0|1.0|45.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
52.0|41720.0|AK_24|CL_66_Y_AC_68|115.0|1.0|51.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
44.0|41720.0|AK_24|CL_66_Y_AC_68|130.0|1.0|42.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|CORRESPONDE A LA AK 24 CON CL 68
45.0|41720.0|AK_24|CL_66_Y_AC_68|145.0|1.0|41.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
53.0|41720.0|AK_24|CL_66_Y_AC_68|200.0|1.0|49.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
54.0|41720.0|AK_24|CL_66_Y_AC_68|215.0|1.0|50.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|1.0|CORRESPONDE A LA AK 24 CON CL 68
51.0|41720.0|AK_24|CL_66_Y_AC_68|230.0|1.0|51.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
64.0|41720.0|AK_24|CL_66_Y_AC_68|245.0|1.0|62.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
60.0|41720.0|AK_24|CL_66_Y_AC_68|300.0|1.0|52.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|1.0|CORRESPONDE A LA AK 24 CON CL 68
52.0|41720.0|AK_24|CL_66_Y_AC_68|315.0|1.0|51.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
38.0|41720.0|AK_24|CL_66_Y_AC_68|330.0|1.0|34.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|1.0|CORRESPONDE A LA AK 24 CON CL 68
40.0|41720.0|AK_24|CL_66_Y_AC_68|345.0|1.0|35.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|4.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
23.0|41720.0|AK_24|CL_66_Y_AC_68|400.0|1.0|21.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
24.0|41720.0|AK_24|CL_66_Y_AC_68|415.0|1.0|21.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
20.0|41720.0|AK_24|CL_66_Y_AC_68|430.0|1.0|16.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
17.0|41720.0|AK_24|CL_66_Y_AC_68|445.0|1.0|11.0|0.0|1.0|3.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
35.0|41720.0|AK_24|CL_66_Y_AC_68|500.0|1.0|22.0|0.0|5.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|4.0|1.0|CORRESPONDE A LA AK 24 CON CL 68
34.0|41720.0|AK_24|CL_66_Y_AC_68|515.0|1.0|23.0|0.0|1.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|6.0|1.0|CORRESPONDE A LA AK 24 CON CL 68
53.0|41720.0|AK_24|CL_66_Y_AC_68|530.0|1.0|32.0|0.0|9.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|6.0|2.0|CORRESPONDE A LA AK 24 CON CL 68
50.0|41720.0|AK_24|CL_66_Y_AC_68|545.0|1.0|31.0|0.0|4.0|3.0|0.0|0.0|0.0|2.0|0.0|1.0|0.0|0.0|0.0|0.0|6.0|3.0|CORRESPONDE A LA AK 24 CON CL 68
75.0|41720.0|AK_24|CL_66_Y_AC_68|600.0|1.0|50.0|1.0|5.0|2.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0|1.0|0.0|0.0|13.0|0.0|CORRESPONDE A LA AK 24 CON CL 68
83.0|41720.0|AK_24|CL_66_Y_AC_68|615.0|1.0|44.0|2.0|7.0|3.0|0.0|0.0|0.0|2.0|0.0|0.0|3.0|0.0|0.0|0.0|13.0|9.0|CORRESPONDE A LA AK 24 CON CL 68
112.0|41720.0|AK_24|CL_66_Y_AC_68|630.0|1.0|81.0|1.0|3.0|4.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|17.0|4.0|CORRESPONDE A LA AK 24 CON CL 68
