ESTRUCTURA DE LA BASE DE DATOS||||||||||||||||||||||
FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VIA  ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACIÓN|LOCALIZACION ESPECIFICA DONDE SE EFECTUO LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMOVILES|COLECTIVOS|BUSETA/BUSETON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERAVCIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN|OBSERVACIONES REFERIDAS AL ANÁLISIS DEL COMPORTAMIENTO
FECHA|VIA|LOCALIZACION|PERÍODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES|OBSERVACIONES AUX
41674.0|AK_10|AC_19|2200.0|1.0|42.0|3.0|5.0|7.0|0.0|7.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|60.0|0.0||
41674.0|AK_10|AC_19|2215.0|1.0|49.0|4.0|3.0|18.0|0.0|4.0|3.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|44.0|0.0||
41674.0|AK_10|AC_19|2230.0|1.0|45.0|2.0|1.0|14.0|0.0|5.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|31.0|0.0||
41674.0|AK_10|AC_19|2245.0|1.0|38.0|2.0|0.0|9.0|0.0|6.0|3.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|35.0|0.0||
41674.0|AK_10|AC_19|2300.0|1.0|52.0|1.0|2.0|10.0|0.0|9.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|20.0|0.0||
41674.0|AK_10|AC_19|2315.0|1.0|50.0|2.0|0.0|10.0|0.0|2.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|22.0|0.0||
41674.0|AK_10|AC_19|2330.0|1.0|43.0|2.0|0.0|6.0|0.0|4.0|3.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|17.0|0.0||
41674.0|AK_10|AC_19|2345.0|1.0|47.0|1.0|2.0|3.0|0.0|2.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|10.0|0.0||
41674.0|AK_10|AC_19|0.0|1.0|39.0|2.0|0.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0||
41674.0|AK_10|AC_19|15.0|1.0|38.0|1.0|0.0|1.0|0.0|1.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|0.0||
41674.0|AK_10|AC_19|30.0|1.0|34.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0||
41674.0|AK_10|AC_19|45.0|1.0|31.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|5.0|0.0||
41674.0|AK_10|AC_19|100.0|1.0|32.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0||
41674.0|AK_10|AC_19|115.0|1.0|27.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||
41674.0|AK_10|AC_19|130.0|1.0|25.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0||
41674.0|AK_10|AC_19|145.0|1.0|21.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||
41674.0|AK_10|AC_19|200.0|1.0|18.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0||
41674.0|AK_10|AC_19|215.0|1.0|13.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||
41674.0|AK_10|AC_19|230.0|1.0|14.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||
41674.0|AK_10|AC_19|245.0|1.0|11.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0||
41674.0|AK_10|AC_19|300.0|1.0|16.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||
41674.0|AK_10|AC_19|315.0|1.0|14.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0||
41674.0|AK_10|AC_19|330.0|1.0|14.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0||
41674.0|AK_10|AC_19|345.0|1.0|18.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0||
41674.0|AK_10|AC_19|400.0|1.0|22.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|2.0|0.0| |
41674.0|AK_10|AC_19|415.0|1.0|20.0|2.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0||
41674.0|AK_10|AC_19|430.0|1.0|27.0|2.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0||
41674.0|AK_10|AC_19|445.0|1.0|19.0|1.0|1.0|2.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|4.0|0.0||
41674.0|AK_10|AC_19|500.0|1.0|25.0|1.0|0.0|8.0|0.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|0.0||
41674.0|AK_10|AC_19|515.0|1.0|20.0|2.0|0.0|22.0|0.0|4.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|7.0|0.0||
41674.0|AK_10|AC_19|530.0|1.0|18.0|2.0|5.0|14.0|0.0|4.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|7.0|3.0||
41674.0|AK_10|AC_19|545.0|1.0|33.0|6.0|4.0|16.0|5.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|9.0|1.0||
41674.0|AK_10|AC_19|2200.0|2.0|49.0|3.0|3.0|6.0|0.0|5.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|8.0|0.0||
41674.0|AK_10|AC_19|2215.0|2.0|54.0|2.0|1.0|5.0|0.0|5.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|13.0|0.0||
41674.0|AK_10|AC_19|2230.0|2.0|57.0|1.0|0.0|7.0|0.0|1.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|1.0||
41674.0|AK_10|AC_19|2245.0|2.0|45.0|1.0|0.0|4.0|0.0|8.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|0.0||
41674.0|AK_10|AC_19|2300.0|2.0|33.0|1.0|1.0|5.0|0.0|5.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0||
41674.0|AK_10|AC_19|2315.0|2.0|32.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|2.0|0.0|0.0|0.0|4.0|1.0||
41674.0|AK_10|AC_19|2330.0|2.0|38.0|0.0|0.0|1.0|0.0|2.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0||
41674.0|AK_10|AC_19|2345.0|2.0|22.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0||
41674.0|AK_10|AC_19|0.0|2.0|34.0|0.0|0.0|1.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0||
41674.0|AK_10|AC_19|15.0|2.0|25.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|4.0|0.0||
41674.0|AK_10|AC_19|30.0|2.0|24.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0||
41674.0|AK_10|AC_19|45.0|2.0|15.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0||
41674.0|AK_10|AC_19|100.0|2.0|27.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0||
