|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
442.0|41797.0|AK_72|AC_138|2200.0|1.0|386.0|1.0|7.0|2.0|0.0|0.0|0.0|8.0|2.0|2.0|5.0|0.0|1.0|1.0|27.0|0.0|
466.0|41797.0|AK_72|AC_138|2215.0|1.0|390.0|0.0|9.0|2.0|0.0|0.0|0.0|3.0|7.0|4.0|6.0|0.0|4.0|2.0|38.0|1.0|
403.0|41797.0|AK_72|AC_138|2230.0|1.0|335.0|0.0|5.0|5.0|0.0|0.0|0.0|3.0|13.0|0.0|6.0|0.0|1.0|0.0|35.0|0.0|
305.0|41797.0|AK_72|AC_138|2245.0|1.0|269.0|0.0|3.0|2.0|0.0|0.0|0.0|1.0|3.0|0.0|6.0|0.0|0.0|0.0|21.0|0.0|
268.0|41797.0|AK_72|AC_138|2300.0|1.0|232.0|0.0|5.0|3.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|1.0|1.0|24.0|0.0|
275.0|41797.0|AK_72|AC_138|2315.0|1.0|230.0|0.0|7.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|7.0|1.0|1.0|1.0|25.0|0.0|
251.0|41797.0|AK_72|AC_138|2330.0|1.0|221.0|0.0|8.0|1.0|0.0|0.0|0.0|3.0|5.0|0.0|1.0|2.0|0.0|0.0|10.0|0.0|
227.0|41797.0|AK_72|AC_138|2345.0|1.0|204.0|0.0|4.0|0.0|0.0|0.0|0.0|2.0|2.0|0.0|3.0|0.0|0.0|1.0|10.0|1.0|
205.0|41797.0|AK_72|AC_138|0.0|1.0|180.0|0.0|3.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|3.0|0.0|0.0|1.0|15.0|0.0|
176.0|41797.0|AK_72|AC_138|15.0|1.0|160.0|1.0|2.0|0.0|0.0|0.0|0.0|3.0|1.0|0.0|2.0|0.0|0.0|0.0|7.0|0.0|
174.0|41797.0|AK_72|AC_138|30.0|1.0|151.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|3.0|0.0|0.0|2.0|13.0|0.0|
116.0|41797.0|AK_72|AC_138|45.0|1.0|98.0|0.0|1.0|1.0|0.0|0.0|0.0|2.0|2.0|1.0|0.0|2.0|0.0|0.0|9.0|0.0|
113.0|41797.0|AK_72|AC_138|100.0|1.0|98.0|0.0|0.0|0.0|0.0|0.0|0.0|3.0|1.0|0.0|1.0|1.0|1.0|0.0|8.0|0.0|
114.0|41797.0|AK_72|AC_138|115.0|1.0|99.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|1.0|0.0|0.0|1.0|10.0|0.0|
110.0|41797.0|AK_72|AC_138|130.0|1.0|94.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|1.0|0.0|0.0|11.0|0.0|
100.0|41797.0|AK_72|AC_138|145.0|1.0|92.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|5.0|0.0|
111.0|41797.0|AK_72|AC_138|200.0|1.0|90.0|0.0|2.0|0.0|0.0|0.0|0.0|1.0|2.0|0.0|1.0|0.0|1.0|1.0|13.0|0.0|
113.0|41797.0|AK_72|AC_138|215.0|1.0|95.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|6.0|0.0|1.0|0.0|8.0|0.0|
100.0|41797.0|AK_72|AC_138|230.0|1.0|82.0|0.0|3.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|4.0|0.0|0.0|0.0|9.0|0.0|
92.0|41797.0|AK_72|AC_138|245.0|1.0|79.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|1.0|2.0|0.0|0.0|5.0|0.0|
105.0|41797.0|AK_72|AC_138|300.0|1.0|83.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|1.0|1.0|2.0|5.0|10.0|0.0|
100.0|41797.0|AK_72|AC_138|315.0|1.0|81.0|0.0|1.0|0.0|0.0|0.0|0.0|3.0|0.0|2.0|0.0|2.0|1.0|0.0|9.0|1.0|
122.0|41797.0|AK_72|AC_138|330.0|1.0|97.0|0.0|1.0|0.0|0.0|0.0|0.0|2.0|0.0|2.0|4.0|1.0|1.0|3.0|10.0|1.0|
135.0|41797.0|AK_72|AC_138|345.0|1.0|105.0|0.0|0.0|0.0|0.0|0.0|0.0|6.0|3.0|4.0|3.0|1.0|2.0|0.0|9.0|2.0|
127.0|41797.0|AK_72|AC_138|400.0|1.0|95.0|0.0|2.0|2.0|0.0|0.0|0.0|1.0|5.0|0.0|1.0|5.0|2.0|1.0|13.0|0.0|
103.0|41797.0|AK_72|AC_138|415.0|1.0|72.0|1.0|3.0|1.0|0.0|0.0|0.0|1.0|1.0|1.0|10.0|1.0|2.0|1.0|9.0|0.0|
109.0|41797.0|AK_72|AC_138|430.0|1.0|82.0|2.0|6.0|1.0|0.0|0.0|0.0|4.0|1.0|0.0|4.0|0.0|0.0|2.0|7.0|0.0|
136.0|41797.0|AK_72|AC_138|445.0|1.0|91.0|3.0|10.0|1.0|0.0|0.0|0.0|3.0|6.0|1.0|4.0|1.0|0.0|11.0|4.0|1.0|
121.0|41797.0|AK_72|AC_138|500.0|1.0|81.0|1.0|5.0|2.0|0.0|0.0|0.0|4.0|6.0|2.0|5.0|3.0|2.0|1.0|9.0|0.0|
177.0|41797.0|AK_72|AC_138|515.0|1.0|130.0|1.0|2.0|2.0|0.0|0.0|0.0|3.0|7.0|5.0|6.0|0.0|0.0|4.0|16.0|1.0|
242.0|41797.0|AK_72|AC_138|530.0|1.0|175.0|1.0|4.0|6.0|0.0|0.0|0.0|4.0|8.0|4.0|6.0|1.0|1.0|8.0|24.0|0.0|
265.0|41797.0|AK_72|AC_138|545.0|1.0|200.0|2.0|7.0|3.0|0.0|0.0|0.0|6.0|10.0|2.0|10.0|2.0|0.0|1.0|22.0|0.0|
347.0|41797.0|AK_72|AC_138|600.0|1.0|256.0|1.0|7.0|3.0|0.0|0.0|0.0|6.0|17.0|3.0|12.0|1.0|1.0|1.0|39.0|0.0|
448.0|41797.0|AK_72|AC_138|615.0|1.0|327.0|2.0|4.0|7.0|0.0|0.0|0.0|7.0|28.0|2.0|9.0|0.0|0.0|0.0|62.0|0.0|
